EventObject_id	Name	ObjectType	Reference	ReferenceType
1105170360910	1104750508542	gopher_id	AAFB02000237	accession
1105170360911	1104750506163	gopher_id	AAFB02000238	accession
1105170360912	1104750514841	gopher_id	AAFB02000239	accession
1105170360913	1104750512110	gopher_id	AAFB02000240	accession
1105170360914	1104750510584	gopher_id	AAFB02000241	accession
1105170360915	1104750511852	gopher_id	AAFB02000242	accession
1105170360916	1104750512602	gopher_id	AAFB02000243	accession
1105170360917	1104750508512	gopher_id	AAFB02000244	accession
1105170360918	1104750515599	gopher_id	AAFB02000245	accession
1105170360919	1104750508686	gopher_id	AAFB02000246	accession
1105170360920	1104750507956	gopher_id	AAFB02000247	accession
1105170360921	1104750510038	gopher_id	AAFB02000248	accession
1105170360922	1104750514194	gopher_id	AAFB02000249	accession
1105170360923	1104750505555	gopher_id	AAFB02000250	accession
1105170360924	1104750516211	gopher_id	AAFB02000251	accession
1105170360925	1104750513896	gopher_id	AAFB02000252	accession
1105170360926	1104750512482	gopher_id	AAFB02000253	accession
1105170360927	1104750509148	gopher_id	AAFB02000254	accession
1105170360928	1104750505419	gopher_id	AAFB02000255	accession
1105170360929	1104750516163	gopher_id	AAFB02000256	accession
1105170360930	1104750512490	gopher_id	AAFB02000257	accession
1105170360931	1104750512190	gopher_id	AAFB02000258	accession
1105170360932	1104750506185	gopher_id	AAFB02000259	accession
1105170360933	1104750513572	gopher_id	AAFB02000260	accession
1105170360934	1104750515959	gopher_id	AAFB02000261	accession
1105170360935	1104750504943	gopher_id	AAFB02000262	accession
1105170360936	1104750514162	gopher_id	AAFB02000263	accession
1105170360937	1104750505585	gopher_id	AAFB02000264	accession
1105170360938	1104750507518	gopher_id	AAFB02000265	accession
1105170360939	1104750508050	gopher_id	AAFB02000266	accession
1105170360940	1104750505565	gopher_id	AAFB02000267	accession
1105170360941	1104750507380	gopher_id	AAFB02000268	accession
1105170360942	1104750511904	gopher_id	AAFB02000269	accession
1105170360943	1104750513614	gopher_id	AAFB02000270	accession
1105170360944	1104750511786	gopher_id	AAFB02000271	accession
1105170360945	1104750506449	gopher_id	AAFB02000272	accession
1105170360946	1104750515807	gopher_id	AAFB02000273	accession
1105170360947	1104750511844	gopher_id	AAFB02000274	accession
1105170360948	1104750506643	gopher_id	AAFB02000275	accession
1105170360949	1104750514655	gopher_id	AAFB02000276	accession
1105170360950	1104750515121	gopher_id	AAFB02000277	accession
1105170360951	1104750504105	gopher_id	AAFB02000278	accession
1105170360952	1104750512132	gopher_id	AAFB02000279	accession
1105170360953	1104750511362	gopher_id	AAFB02000280	accession
1105170360954	1104750514563	gopher_id	AAFB02000281	accession
1105170360955	1104750504831	gopher_id	AAFB02000282	accession
1105170360956	1104750505943	gopher_id	AAFB02000283	accession
1105170360957	1104750511754	gopher_id	AAFB02000284	accession
1105170360958	1104750504875	gopher_id	AAFB02000285	accession
1105170360959	1104750514313	gopher_id	AAFB02000286	accession
1105170360960	1104750507108	gopher_id	AAFB02000287	accession
1105170360961	1104750513630	gopher_id	AAFB02000288	accession
1105170360962	1104750507636	gopher_id	AAFB02000289	accession
1105170360963	1104750506115	gopher_id	AAFB02000290	accession
1105170360964	1104750515591	gopher_id	AAFB02000291	accession
1105170360965	1104750512504	gopher_id	AAFB02000292	accession
1105170360966	1104750505165	gopher_id	AAFB02000293	accession
1105170360967	1104750510306	gopher_id	AAFB02000294	accession
1105170360968	1104750516053	gopher_id	AAFB02000295	accession
1105170360969	1104750508804	gopher_id	AAFB02000296	accession
1105170360970	1104750513676	gopher_id	AAFB02000297	accession
1105170360971	1104750512700	gopher_id	AAFB02000298	accession
1105170360972	1104750507356	gopher_id	AAFB02000299	accession
1105170360973	1104750513302	gopher_id	AAFB02000300	accession
1105170360974	1104750512850	gopher_id	AAFB02000301	accession
1105170360975	1104750513136	gopher_id	AAFB02000302	accession
1105170360976	1104750515261	gopher_id	AAFB02000303	accession
1105170360977	1104750515689	gopher_id	AAFB02000304	accession
